OBJECTID_1,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,PORT_TYPE,BORDPATSEC,CONTACT,FAX_NUMBER,HOURS_OPER,REMARK,RULEID,OBJECTID
1,0,"WEST PALM BEACH PORT OF ENTRY, WEST PALM BEACH INTERNATIONAL AIRPORT",561-233-1080,1612 PERIMETER ROAD,GENERAL AVIATION FACILITY,WEST PALM BEACH,FL,33406,1422,PALM BEACH,12099, , , , ,2009-09-16T00:00:00.000Z,PHONE,2009-09-16T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,134927891,-80.0927555,26.6784659,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, ,PORT DIRECTOR,561-844-5576, , ,1,57
2,1,"JOHN FITZGERALD KENNEDY INTERNATIONAL AIRPORT PORT OF ENTRY, JOHN FITZGERALD KENNEDY INTERNATIONAL AIRPORT",718-487-5164,JOHN FITZGERALD KENNEDY EXPRESSWAY AND SOUTH CARGO ROAD, ,JAMAICA,NY,11430, ,QUEENS,36081, , , , ,2009-09-14T00:00:00.000Z,ALT REF,2009-09-14T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,21657741,-73.7819503,40.6434831,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR, ,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,131
3,2,"WILMINGTON PORT OF ENTRY, WILMINGTON MARINE TERMINAL",302-326-0600,1 HAUSEL ROAD,WAREHOUSE G,WILMINGTON,DE,19801,5800,NEW CASTLE,10003, , , , ,2009-09-18T00:00:00.000Z,PHONE,2009-09-18T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,18843519,-75.5284687,39.7140325,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT, ,PORT DIRECTOR,302-326-0828,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,38
4,3,"MASCOUTAH/MIDAMERICA/SAINT LOUIS PORT OF ENTRY, MIDAMERICA SAINT LOUIS AIRPORT",618-566-5341,8810 RICHARD BRAUER ROAD, ,MASCOUTAH,IL,62258,5506,ST CLAIR,17163, , , , ,2009-09-14T00:00:00.000Z,ALT REF,2009-09-18T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,33305507,-89.8188137,38.5493455,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
5,4,"NOME PORT OF ENTRY, NOME AIRPORT",907-443-5846,SEPPALA DRIVE, ,NOME,AK,99762, ,NOME,02180, , , , ,2009-09-17T00:00:00.000Z,ALT REF,2010-01-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,124850302,-165.4415864,64.5077792,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
6,5,"MOREHEAD CITY-BEAUFORT PORT OF ENTRY, PORT OF MOREHEAD CITY",252-726-5845,113 ARENDELL STREET, ,MOREHEAD CITY,NC,28557,4268,CARTERET,37031, , , , ,2009-09-15T00:00:00.000Z,PHONE,2009-09-15T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,102106565,-76.7035625,34.7202222,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, ,PORT DIRECTOR,919-726-6159,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,112
7,6,"WRANGELL PORT OF ENTRY, WRANGELL AIRPORT",907-874-3415,1300 AIRPORT LOOP ROAD, ,WRANGELL,AK,99929, ,WRANGELL-PETERSBURG,02280, , , , ,2009-09-16T00:00:00.000Z,ALT REF,2010-01-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,721684051,-132.379703,56.4851941,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,907-874-3415, , ,1,14
8,7,"KANSAS CITY PORT OF ENTRY, KANSAS CITY INTERNATIONAL AIRPORT",816-243-3676,601 BRASILIA AVENUE, ,KANSAS CITY,MO,64153,2054,PLATTE,29165, , , , ,2009-09-15T00:00:00.000Z,ALT REF,2009-09-15T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,25041843,-94.7126318,39.2931377,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,816-584-8431,8:00 AM - 4:30 PM, ,1,103
9,8,"GLOUCESTER PORT OF ENTRY, GLOUCESTER HARBOR",978-921-0782,19 HARBOR LOOP, ,GLOUCESTER,MA,01930,5003,ESSEX,25009, , , , ,2010-01-11T00:00:00.000Z,PHONE,2010-01-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,42668497,-70.6590283,42.6109652,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT, ,PORT DIRECTOR,978-282-4678,8:00 AM - 4:30 PM, ,1,87
10,9,"ANCHORAGE PORT OF ENTRY, PORT OF ANCHORAGE",907-271-2675,2000 ANCHORAGE PORT ROAD, ,ANCHORAGE,AK,99501,1024,ANCHORAGE,02020, , , , ,2010-01-06T00:00:00.000Z,PHONE,2010-01-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,124870105,-149.8884372,61.2390949,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT, ,PORT DIRECTOR,907-271-2684,8:00 AM - 4:30 PM, ,1,8
11,10,"SAN DIEGO PORT OF ENTRY, PORT OF SAN DIEGO",619-685-4300,1140 NORTH HARBOR DRIVE, ,SAN DIEGO,CA,92101,3365,SAN DIEGO,06073, , , , ,2010-01-08T00:00:00.000Z,PHONE,2010-01-08T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,732876223,-117.174987,32.7176878,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT, , , , , ,0,0
12,11,"CHICAGO PORT OF ENTRY, PORT OF CHICAGO",847-928-3000,3600 EAST 95TH STREET, ,CHICAGO,IL,60617,5100,COOK,17031, , , , ,2010-01-08T00:00:00.000Z,PHONE,2010-01-08T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,108741170,-87.5352506,41.7235743,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT, , , , , ,0,0
13,12,"SAVANNAH PORT OF ENTRY, PORT OF SAVANNAH",912-447-9400,950 WEST RIVER STREET, ,SAVANNAH,GA,31401,1132,CHATHAM,13051, , , , ,2010-01-08T00:00:00.000Z,PHONE,2010-01-08T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,778155973,-81.1072164,32.0909718,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT, , , , , ,0,0
14,13,"ALBANY PORT OF ENTRY, PORT OF ALBANY",518-465-9530,106 SMITH BOULEVARD, ,ALBANY,NY,12202,1067,ALBANY,36001, , , , ,2010-01-11T00:00:00.000Z,PHONE,2010-01-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,774449680,-73.7580236,42.6263063,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, , , , , ,0,0
15,14,"PASCAGOULA PORT OF ENTRY, PORT OF PASCAGUOULA",228-762-7311,535 DELMAS AVENUE,SUITE 2,PASCAGOULA,MS,39567,4143,JACKSON,28059, , , , ,2009-09-15T00:00:00.000Z,PHONE,2009-09-15T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,99422964,-88.559104,30.3671512,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, ,PORT DIRECTOR,228-762-7502,8:00 AM - 5:00 PM, ,1,108
16,15,"DETROIT PORT OF ENTRY, PORT OF MONROE",313-226-3136,2929 EAST FRONT STREET, ,MONROE,MI,48161,1972,MONROE,26115, , , , ,2010-01-07T00:00:00.000Z,PHONE,2010-01-07T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,46758233,-83.3559094,41.8999607,NAVTEQ,2009Q2,ONENTITY, ,TGS,WATER PORT, , , , , ,0,0
17,16,"JUNEAU PORT OF ENTRY, JUNEAU SEAPORT",907-586-7108,470 SOUTH FRANKLIN STREET, ,JUNEAU,AK,99801,1328,JUNEAU,02110, , , , ,2009-12-21T00:00:00.000Z,PHONE,2009-12-21T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,716819866,-134.4008801,58.2962793,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, , , , , ,0,0
18,17,"KONA PORT OF ENTRY, KONA INTERNATIONAL AIRPORT AT KEAHOLE",808-334-1850,73-100 KUPIPI STREET, ,KAILUA/KONA,HI,96740,2644,HAWAII,15001, , , , ,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,115751244,-156.040811,19.7393644,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR, , , ,1,218
19,18,"WINSTON-SALEM PORT OF ENTRY, PIEDMONT TRIAD INTERNATIONAL AIRPORT",336-668-7272,6415 BRYAN BOULEVARD, ,GREENSBORO,NC,27409,9449,GUILFORD,37081, , , , ,2009-09-15T00:00:00.000Z,PHONE,2009-09-21T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,721680471,-79.9365363,36.105312,NAVTEQ,2009Q2,ONENTITY,NO,TGS,AIRPORT, ,PORT DIRECTOR,336-668-7364,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,117
20,19,"CAPE CANAVERAL PORT OF ENTRY, PORT CANAVERAL",321-783-2066,120 GEORGE J KING BOULEVARD, ,CAPE CANAVERAL,FL,32920,3302,BREVARD,12009, , , , ,2009-09-16T00:00:00.000Z,PHONE,2009-09-16T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,117117153,-80.6064703,28.4053697,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, ,PORT DIRECTOR,321-799-5474,8:00 AM - 5:00 PM, ,1,39
21,20,"SACRAMENTO PORT OF ENTRY, SACRAMENTO INTERNATIONAL AIRPORT",916-649-3671,6910 AIRPORT BOULEVARD, ,SACRAMENTO,CA,95837,1130,SACRAMENTO,06067, , , , ,2009-09-15T00:00:00.000Z,PHONE,2009-09-15T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,24445539,-121.5917147,38.6936843,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, ,PORT DIRECTOR, , , ,1,214
22,21,"OWENSBORO / EVANSVILLE PORT OF ENTRY, OWENSBORO DAVIESS COUNTY REGIONAL AIRPORT",270-685-4179,2200 AIRPORT ROAD, ,OWENSBORO,KY,42301,9488,DAVIESS,21059, , , , ,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,778617345,-87.1631827,37.7464315,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,812-465-6413, , ,1,77
23,22,"CHARLOTTE AMALIE AREA PORT OF SAINT THOMAS PORT OF ENTRY, CYRIL E KING AIRPORT",340-774-4554,AIRPORT ROAD, ,CHARLOTTE AMALIE,VI,00802, ,ST THOMAS ISLAND,78030, , , , ,2009-09-17T00:00:00.000Z,PHONE,2009-09-17T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,120296425,-64.971499,18.3352471,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, , , , , ,0,0
24,23,"PORT OF ENTRY AT MEDFORD, ROGUE VALLEY INTERNATIONAL-MEDFORD AIRPORT",541-776-7222,1000 TERMINAL LOOP PARKWAY, ,MEDFORD,OR,97504, ,JACKSON,41029, , , , ,2009-09-17T00:00:00.000Z,ALT REF,2009-09-17T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,721477731,-122.8735907,42.3694005,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR, ,8:00AM - 4:30PM,EMERGENCY 24 HOUR CONTACT NUMBER (503)326-3515,1,146
25,24,"DETROIT METROPOLITAN AIRPORT PORT OF ENTRY, WILLOW RUN AIRPORT",734-485-6668,801 WILLOW RUN AIRPORT, ,YPSILANTI,MI,48198,0899,WASHTENAW,26161, , , , ,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,19687605,-83.5460055,42.2369723,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,734-485-6677,4:00 PM - 12:00 AM, ,1,98
26,25,"SEATTLE PORT OF ENTRY/TACOMA WASHINGTON PORT OF ENTRY, JEFFERSON COUNTY INTERNATIONAL AIRPORT",360-385-3777,103 AIRPORT ROAD, ,PORT TOWNSEND,WA,98368,9716,JEFFERSON,53031,"CUSTOMS AND BORDER PROTECTION OFFICERS ARE NOT STATIONED ON SITE, MUST CALL PRIOR TO LANDING.", , , ,2010-01-04T00:00:00.000Z,ALT REF,2010-01-04T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,121282267,-122.8076246,48.0567038,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, , , , , ,0,0
27,26,"TOLEDO-SANDUSKY PORT OF ENTRY, GRIFFING / SANDUSKY AIRPORT",419-625-0022,3115 CLEVELAND ROAD, ,SANDUSKY,OH,44870,4417,ERIE,39043, , , , ,2009-09-18T00:00:00.000Z,PHONE,2009-09-18T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,123316867,-82.6536603,41.430346,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, ,PORT DIRECTOR,419-259-3703,8:00 AM - 4:30 PM, ,1,140
