"Title","Description","Keywords","Publisher","Bureau Code","Program Code","Contact Name","Contact Email","Unique Identifier","Public Access Level","Access Level Comment","Format","Access URL","Last Update","License"
"2011 Data Breach Investigation Report","A study conducted by the Verizon RISK Team with cooperation from the U.S. Secret Service and the Dutch High Tech Crime Unit.  "," Assets, Attack, Crime, Data Breach, Evidence, Hacking, Security, Threat","Secret Service, United States","024:40","024:000","Open Data (MGMT)","edmo@hq.dhs.gov","1737","public","-","-","http://www.verizonenterprise.com/resouces/executivesummary/es_2011-data-breach-investigations-report_en_xg.pdf","05/15/2017","http://www.usa.gov/publicdomain/label/1.0/"
"2014 Recreational Boating Statistics","In 2014, the Coast Guard counted 4, 054 accidents that involved 610 deaths, 2, 678 injuries and approximately #39 million dollars of damage to property as a result o recreational boating accidents."," Accidents, BARD, Injury, Model, Model Year, Recall, Regulations, Safety, Statistics, Vessel,Boating","Coast Guard, United States","024:60","024:000","Open Data (MGMT)","edmo@hq.dhs.gov","2096","public","-","-","http://www.uscgboating.org/library/accident-statistics/Recreational-Boating-Statistics-2014.pdf","09/21/2015","http://www.usa.gov/publicdomain/label/1.0/"
"Accident Statistics","Accident statistics available on the Coast Guard’s website by state, year, and one variable to obtain tables and/or graphs. Data from reports has been loaded for years 2005-2013. Data represents information submitted from the 56 reporting jurisdictions - 50 states and US territories."," Accidents, Injury, Safety, Statistics, Vessel,Boating","Coast Guard, United States","024:60","024:000","Open Data (MGMT)","edmo@hq.dhs.gov","1264","public","-","-","https://bard.knightpoint.systems/PublicInterface/Report1.aspx.","02/13/2017","http://www.usa.gov/publicdomain/label/1.0/"
"ACMS-Data","The Records of CBP training activities in the academies and in-service field training. This data is for processing by COTS Application Acadis Readiness Suite and is stored in a MS SQL DB."," training,student","U.S. Customs and Border Protection","024:54","024:043","Open Data (MGMT)","edmo@hq.dhs.gov","6696","non-public","Student Records","-","-","07/12/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Administrative Areas where Vessels May Anchor - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2502","public","Selected Continental United States (Mississippi, Ohio, Tennessee River valleys)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Advanced Passenger Information","Advanced Passenger Information permits research on passengers on international flights before their arrival in or departure from the United States. "," Air, Biographic Information, Boarder, Land, Passenger, Passenger Manifest, Port of Entry, Screening Results, Sea, Traveler, Watch List,HPPQ,High Performance Primary Query and Manifest Processing,Travel Document","U.S. Customs and Border Protection","024:54","024:015, 024:025, 024:040, 024:041, 024:043, 024:044","Open Data (MGMT)","edmo@hq.dhs.gov","6436","non-public","It contains PII","-","-","04/28/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Agricultural Minerals Operations","This map layer includes agricultural minerals operations in the United States. The data represent commodities covered by the Minerals Information Team (MIT) of the U.S. Geological Survey. The mineral operations are plants and (or) mines surveyed by the MIT and considered currently active in 2003. This is a replacement for the June 2004 map layer."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2503","public","Continental United States","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Aircraft Landing Facilities","The Airports database is a geographic point database of aircraft landing facilities in the United States and U.S. Territories. Attribute data is provided on the physical and operational characteristics of the landing facility, current usage including enplanements and aircraft operations, congestion levels and usage categories. This geospatial data is derived from the FAA's National Airspace System Resource Aeronautical Data Product."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2504","public","Continental United States, Alaska, Hawaii, Puerto Rico, U.S. Virgin Islands, Guam, Northern Marianas, American Samoa & Misc. Islands","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Airports - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2505","public","Selected Continental United States (Mississippi, Missouri, Ohio, Tennessee River valleys)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"All Places of Worship","Places of Workship"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","6613","public","Selected Continental United States (scattered coverage along major mid-America river valleys)","-","https://gii.dhs.gov/gii/","06/21/2017","http://www.usa.gov/publicdomain/label/1.0/"
"AM Transmission Towers","AM transmission tower locations as recorded by the Federal Communications Commission, extracted from the FCC Licensing Database."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2506","public","United States, Puerto Rico, U.S. Virgin Islands, Guam, American Samoa & Northern Marianas","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"American Red Cross Chapter Facilities","American Red Cross Chapter Facilities"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","6614","public","Selected Continental United States (major mid-America river valleys)","-","https://gii.dhs.gov/gii/","06/21/2017","http://www.usa.gov/publicdomain/label/1.0/"
"American Red Cross Chapter Regions","The Regions are part of the national field level structure to support chapters. The Regions role is admistrative as well as provides oversight and program technical support to the Chapters. 

Red Cross Geography ModelCounties make up Chapters, Chapters make up Regions and Regions make up Divisions. There are four exceptions to the ""Counties to Chapter"" model. Middlesex County, MA, Los Angeles, Kern, Riverside and San Bernardino Counties in California have more than one Chapter. (Many to One). In the case of these five counties, the geometry was dissolved from Zip Codes.This Region shapefile reflects the Regions boundaires as rolled up by Chapter with associated attribute information. 
http://maps.redcross.org/website/Services/ARC_Services.html"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2507","public","Continental United States, Alaska & Hawaii","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"American Red Cross Divisions","The data is used by the American Red Cross (ARC) in its GIS applications to graphically display the geographic coverage of each chartered chapter."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2508","public","Continental United States, Alaska & Hawaii","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"American Red Cross Headquarters","This point file represents only the headquarters location for each chapter and does not reflect any branch offices or warehouse facilities. Due to the recent changes to the chapter network a few of the addresses are subject to change.http://maps.redcross.org/website/Services/ARC_Services.html
"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2509","public","Continental United States, Alaska & Hawaii","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"American Red Cross Regions","The data is used by the American Red Cross (ARC) in its GIS applications to graphically display the geographic coverage of each chartered chapter."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2510","public","Continental United States, Alaska & Hawaii","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Amtrak Stations","Updated database of the Federal Railroad Administration's (FRA) Amtrak Station database. This database is a geographic data set containing Amtrak intercity railroad passenger terminals in the United States and Canada. Attribute data include services and passenger amenities provided at the station."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2511","public","Continental United States & Canada","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Anchorages - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2512","public","Selected Continental United States (Tennessee River valley & Minneapolis vicinity)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Antenna Structure Registrate","This file is an extract of the Antenna Structure Registrate (ASR). The ASR consists of antenna structures that are more than 60.96 meters (200 feet) in height or located near an airport."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2513","public","United States, Puerto Rico, U.S. Virgin Islands, Guam, American Samoa & Northern Marianas","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
